,brands,model_names,cpu_models,storages,rams,operating_systems,prices,graphics,ratings,reviews
371,TABLE MAGIC,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,2.35,Integrated,3.4,3745.0
372,Lenovo,IdeaPad Slim 3,Intel Core i7,512.0,16.0,Windows 11 Home,67.99,Integrated,4.5,3745.0
373,Lenovo,Yoga Pro 7,Intel Core i7,1000.0,16.0,Windows 11 Home,299.0,PCI Express,2.0,3745.0
374,Logitech,HP Laptop,Core i3,512.0,16.0,"Chromebook,Mac,Windows",699.0,Integrated,4.4,3745.0
375,Ceptics,PI-200C3U,Core i3,512.0,16.0,Windows 11 Home,2.199,Integrated,4.3,3745.0
376,ANCIARY,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,248.0,Integrated,3.6,3745.0
377,Lenovo,HP Laptop,Core i3,512.0,16.0,"Windows,Mac",269.0,Integrated,4.4,3745.0
378,Sounce,HP Laptop,Core i3,512.0,16.0,"Linux, Windows, Mac OS",1.099,Integrated,4.0,3745.0
379,ABRALE,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.138,Integrated,4.8,3745.0
380,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,279.0,Integrated,3.8,3745.0
381,Tukzer,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,119.0,Integrated,4.2,3745.0
382,Lenovo,IdeaPad Slim 5,Intel Core Ultra 5,512.0,16.0,Windows 11 Home,72.99,Integrated,3.9,3745.0
383,Lenovo,LOQ,Intel Core i7,512.0,24.0,Windows 11,99.99,PCI Express,3.7,3745.0
384,Cosmic Byte,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,710.0,Integrated,3.1,3745.0
385,Dyazo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,249.0,Integrated,4.0,3745.0
386,Dyazo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,499.0,Integrated,4.2,3745.0
387,Logitech,HP Laptop,Core i3,512.0,16.0,Mac,759.0,Integrated,4.4,3745.0
388,Ant Plus,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,669.0,Integrated,3.7,3745.0
389,amazon basics,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,213.0,Integrated,4.2,3745.0
390,Ambrane,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,999.0,Integrated,4.4,3745.0
391,Samsung,Galaxy Book2 Pro,Core i7,512.0,16.0,Windows 11 Home,95.999,Integrated,3.9,3745.0
392,ASUS,ASUS Zenbook 14,Snapdragon,512.0,16.0,Windows 11 Home,99.99,Integrated,5.0,3745.0
393,ASUS,ASUS Zenbook S 16,Ryzen AI,1000.0,32.0,Windows 11 Home,299.0,Integrated,4.5,3745.0
394,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.49,Integrated,4.2,3745.0
395,ASUS,ASUS Zenbook 14,Intel Core Ultra 7,1000.0,16.0,Windows 11 Home,299.0,Integrated,2.0,3745.0
396,Lenovo,LOQ,Intel Core i5,512.0,16.0,Windows 11 Home,74.99,PCI Express,4.0,3745.0
397,Artis,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,699.0,Integrated,4.1,3745.0
398,Tukzer,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,299.0,Integrated,4.2,3745.0
399,KBBRD,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,299.0,Integrated,4.1,3745.0
400,Lenovo,Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8…,Core i3,512.0,16.0,Windows 11 Pro,25.99,Integrated,2.6,3745.0
401,amazon basics,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,449.0,Integrated,4.4,3745.0
402,Dyazo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,299.0,Integrated,4.2,3745.0
403,cimetech,HP Laptop,Core i3,512.0,16.0,"Linux, Chrome OS, Windows, Mac OS",996.0,Integrated,4.0,3745.0
404,ADATA,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,1.348,Integrated,4.5,135.0
405,ASUS,ASUS Zenbook 14 OLED,Core i3,16.0,16.0,Windows 11 Home,299.0,PCI Express,4.2,3745.0
406,Lenovo,LOQ,Ryzen 5,512.0,24.0,Windows 11 Home,66.49,PCI Express,3.3,3745.0
407,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,279.0,Integrated,4.2,3745.0
408,Dell,Inspiron,Core i3,512.0,8.0,Windows 11 Home,36.43,Integrated,3.9,3745.0
409,ASUS,ASUS Vivobook 16,Core i5-12500H,512.0,16.0,Windows 11 Home,53.99,Integrated,4.0,3745.0
410,Artis,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,649.0,Integrated,3.8,3745.0
411,ASUS,Vivobook 15,Core i3-1215U,512.0,16.0,Windows 11 Home,35.99,Integrated,4.0,3745.0
412,SPIN CART,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,248.0,Integrated,4.4,3745.0
413,ACER,Z2-493,Ryzen 3 3250U,512.0,8.0,Windows 11 Home,22.99,Integrated,5.0,3745.0
414,HP,HP Laptop,Intel Core i5,512.0,16.0,Windows 11 Home,50.99,Integrated,4.0,3745.0
415,ASUS,ASUS Vivobook 14,Core i3,512.0,8.0,Windows 11 Home,32.99,Integrated,3.8,3745.0
416,TABLE MAGIC,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,2.35,Integrated,3.4,3745.0
417,ASUS,ASUS Zenbook S 14,Intel Core Ultra 7,1000.0,16.0,Windows 11 Home,299.0,Integrated,5.0,3745.0
418,ASUS,ASUS Zenbook 14,Intel Core Ultra 5,1000.0,16.0,Windows 11 Home,299.0,Integrated,2.0,3745.0
419,Lenovo,Legion 5,Intel Core i7,1000.0,16.0,Windows 11 Home,299.0,PCI Express,4.8,3745.0
420,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,339.0,Integrated,3.5,3745.0
421,HP,HP ZBook Firefly 16 inch G11 Mobile Workstation PC,Intel Core Ultra 7,1000.0,32.0,Windows 11 Professional,299.0,Integrated,5.0,3745.0
422,Portronics,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,258.0,Integrated,3.6,3745.0
423,INSTAPLAY,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,210.0,Integrated,3.4,3745.0
424,EDNITA,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,349.0,Integrated,4.3,3745.0
425,iTronix,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,269.0,Integrated,4.0,3745.0
426,Lenovo,HP Laptop,Core i3,512.0,16.0,Windows 11 Home,309.0,Integrated,4.5,3745.0
427,HP,14-ew1082TU,Others,512.0,16.0,Windows 11 Home,87.99,PCI Express,3.7,3745.0
428,HP,HP Laptop,Ryzen 5,512.0,16.0,Windows 11 Home,42.99,Integrated,3.2,3745.0
